Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências da Vida,Medicina Veterinária,Raquel Yvonne Arantes Baccarin,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Regina Kiomi Takahira,Mulher,PQ-C,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Renata Assis Casagrande,Mulher,PQ-1D,UDESC,SC,Sul
Ciências da Vida,Medicina Veterinária,Renata Ernlund Freitas de Macedo,Mulher,PQ-2,PUC/PR,PR,Sul
Ciências da Vida,Medicina Veterinária,Renata Gebara Sampaio Dória,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Renata Santiago Alberto Carlos,Mulher,PQ-C,UESC,BA,Nordeste
Ciências da Vida,Medicina Veterinária,Renato Andreotti e Silva,Homem,PQ-1D,EMBRAPA,DF,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Renato de Lima Santos,Homem,PQ-1A,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Renee Laufer Amorim,Mulher,PQ-A,FMVZ,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Ricarda Maria dos Santos,Mulher,PQ-2,UFU,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Ricardo Antônio Amaral de Lemos,Homem,PQ-1D,UFMS,MS,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Ricardo Barbosa de Lucena,Homem,PQ-1D,UFPB,PB,Nordeste
Ciências da Vida,Medicina Veterinária,Ricardo Evandro Mendes,Homem,PQ-2,IF-Catarinense,SC,Sul
Ciências da Vida,Medicina Veterinária,Ricardo Luiz Moro de Sousa,Homem,PQ-C,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Ricardo Seiti Yamatogi,Homem,PQ-C,UFV,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Ricardo Velludo Gomes de Soutello,Homem,PQ-C,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Ricardo Zanella,Homem,PQ-2,UPF,RS,Sul
Ciências da Vida,Medicina Veterinária,Ricardo de Francisco Strefezzi,Homem,PQ-C,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Richard de Campos Pacheco,Homem,PQ-1D,UFMT,MT,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Rinaldo Aparecido Mota,Homem,PQ-A,UFRPE,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Roberta Torres de Melo,Mulher,PQ-C,UFU,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Roberto Mauricio Carvalho Guedes,Homem,PQ-1D,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Roberto Sartori Filho,Homem,PQ-B,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Rodrigo Caldas Menezes,Homem,PQ-1D,FIOCRUZ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Rodrigo Martins Soares,Homem,PQ-2,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Rodrigo Otávio Silveira Silva,Homem,PQ-A,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Rodrigo dos Santos Horta,Homem,PQ-2,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Rogerio Giuffrida,Homem,PQ-2,UNOESTE,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Rogéria Serakides,Mulher,PQ-1C,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Rogério Martins Amorim,Homem,PQ-C,FMVZ,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Roselene Ecco,Mulher,PQ-2,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Rudi Weiblen,Homem,PQ-1D,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Rui Seabra Ferreira Junior,Homem,PQ-1D,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Régis Adriel Zanette,Homem,PQ-2,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Sandro Antonio Pereira,Homem,PQ-2,FIOCRUZ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Saulo Petinatti Pavarini,Homem,PQ-1B,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Selwyn Arlington Headley,Homem,PQ-1B,UEL,PR,Sul
Ciências da Vida,Medicina Veterinária,Sergio Santos de Azevedo,Homem,PQ-1A,UFCG,PB,Nordeste
Ciências da Vida,Medicina Veterinária,Sheila Canevese Rahal,Mulher,PQ-1B,FMVZ,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Sheyla Farhayldes Souza Domingues,Mulher,PQ-C,UFPA,PA,Norte
Ciências da Vida,Medicina Veterinária,Silvia Gonzalez Monteiro,Mulher,PQ-C,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Solange Maria Gennari,Mulher,PQ-1A,UNISA,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Arqueologia,Tania Andrade Lima,Mulher,PQ-SR,UFRJ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Stella de Faria Valle,Mulher,PQ-C,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Sônia de Avila Botton,Mulher,PQ-1D,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Tatiane Alves da Paixão,Mulher,PQ-B,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Terezinha Knöbl,Mulher,PQ-2,USP,SP,Sudeste
